# rank	legacy	wide	full
35490	db1e2f8ca2c978f81dd3ba9042cf4065	3e7db014fc5ea10319789a67609551ef	6839a2d2c7b0487d68b9823aeef73758
35491	db1e2f8ca2c978f81dd3ba9042cf4065	3e7db014fc5ea10319789a67609551ef	6839a2d2c7b0487d68b9823aeef73758
35492	db1e2f8ca2c978f81dd3ba9042cf4065	3e7db014fc5ea10319789a67609551ef	6839a2d2c7b0487d68b9823aeef73758
35493	db1e2f8ca2c978f81dd3ba9042cf4065	3e7db014fc5ea10319789a67609551ef	6839a2d2c7b0487d68b9823aeef73758
35494	db1e2f8ca2c978f81dd3ba9042cf4065	3e7db014fc5ea10319789a67609551ef	6839a2d2c7b0487d68b9823aeef73758
35495	db1e2f8ca2c978f81dd3ba9042cf4065	3e7db014fc5ea10319789a67609551ef	6839a2d2c7b0487d68b9823aeef73758
35496	db1e2f8ca2c978f81dd3ba9042cf4065	3e7db014fc5ea10319789a67609551ef	6839a2d2c7b0487d68b9823aeef73758
35497	db1e2f8ca2c978f81dd3ba9042cf4065	3e7db014fc5ea10319789a67609551ef	6839a2d2c7b0487d68b9823aeef73758
35498	db1e2f8ca2c978f81dd3ba9042cf4065	3e7db014fc5ea10319789a67609551ef	6839a2d2c7b0487d68b9823aeef73758
35499	db1e2f8ca2c978f81dd3ba9042cf4065	3e7db014fc5ea10319789a67609551ef	6839a2d2c7b0487d68b9823aeef73758
35500	db1e2f8ca2c978f81dd3ba9042cf4065	3e7db014fc5ea10319789a67609551ef	6839a2d2c7b0487d68b9823aeef73758
35501	7db81fa50a7b3e0f59225f3d7ee9c5b7	85d00b68ad6d04898746f69c83951062	59720052a3a2eb8400d9d8fb2a3df5c5
35502	7db81fa50a7b3e0f59225f3d7ee9c5b7	85d00b68ad6d04898746f69c83951062	59720052a3a2eb8400d9d8fb2a3df5c5
35503	7db81fa50a7b3e0f59225f3d7ee9c5b7	85d00b68ad6d04898746f69c83951062	59720052a3a2eb8400d9d8fb2a3df5c5
35504	7db81fa50a7b3e0f59225f3d7ee9c5b7	85d00b68ad6d04898746f69c83951062	59720052a3a2eb8400d9d8fb2a3df5c5
35505	7db81fa50a7b3e0f59225f3d7ee9c5b7	85d00b68ad6d04898746f69c83951062	59720052a3a2eb8400d9d8fb2a3df5c5
35506	7db81fa50a7b3e0f59225f3d7ee9c5b7	85d00b68ad6d04898746f69c83951062	59720052a3a2eb8400d9d8fb2a3df5c5
35507	7db81fa50a7b3e0f59225f3d7ee9c5b7	85d00b68ad6d04898746f69c83951062	59720052a3a2eb8400d9d8fb2a3df5c5
35508	d304906d8a13d72249813664f9864ced	1772eb101ff8b5f1f6eeef7da7ce3ea7	d4e5d0fbcee8f12a7fcff7a3ce7febdc
35509	d304906d8a13d72249813664f9864ced	1772eb101ff8b5f1f6eeef7da7ce3ea7	d4e5d0fbcee8f12a7fcff7a3ce7febdc
35510	d304906d8a13d72249813664f9864ced	1772eb101ff8b5f1f6eeef7da7ce3ea7	d4e5d0fbcee8f12a7fcff7a3ce7febdc
35511	d304906d8a13d72249813664f9864ced	6a94f73b30918485c419fb286ec5eabb	53c785f722d31b7ccd49e9dc48682b51
35512	d6a423ea2c97ec51f51419bd639e39b1	a04b84b2c12bd22090c5f015becc54b3	30be0233971b96b1d3aa278b2bb77142
35513	d304906d8a13d72249813664f9864ced	1772eb101ff8b5f1f6eeef7da7ce3ea7	d4e5d0fbcee8f12a7fcff7a3ce7febdc
35514	d304906d8a13d72249813664f9864ced	1772eb101ff8b5f1f6eeef7da7ce3ea7	d4e5d0fbcee8f12a7fcff7a3ce7febdc
35515	d304906d8a13d72249813664f9864ced	1772eb101ff8b5f1f6eeef7da7ce3ea7	d4e5d0fbcee8f12a7fcff7a3ce7febdc
35516	d304906d8a13d72249813664f9864ced	6a94f73b30918485c419fb286ec5eabb	53c785f722d31b7ccd49e9dc48682b51
35517	d304906d8a13d72249813664f9864ced	6a94f73b30918485c419fb286ec5eabb	53c785f722d31b7ccd49e9dc48682b51
35518	87be628433f1527bc5332f04c87a7e3f	9b864ff8646c74f917b1c82204e3888c	da1f35119de67159bb86daae732fc3ab
35519	87be628433f1527bc5332f04c87a7e3f	9b864ff8646c74f917b1c82204e3888c	da1f35119de67159bb86daae732fc3ab
35520	87be628433f1527bc5332f04c87a7e3f	9b864ff8646c74f917b1c82204e3888c	da1f35119de67159bb86daae732fc3ab
35521	87be628433f1527bc5332f04c87a7e3f	9b864ff8646c74f917b1c82204e3888c	da1f35119de67159bb86daae732fc3ab
35522	87be628433f1527bc5332f04c87a7e3f	9b864ff8646c74f917b1c82204e3888c	da1f35119de67159bb86daae732fc3ab
35523	87be628433f1527bc5332f04c87a7e3f	9b864ff8646c74f917b1c82204e3888c	da1f35119de67159bb86daae732fc3ab
35524	87be628433f1527bc5332f04c87a7e3f	9b864ff8646c74f917b1c82204e3888c	da1f35119de67159bb86daae732fc3ab
35525	b32be86cb13759363e470185f85d6ce0	0310e7006165a00958c9f32361590678	775d4106a2414fece1200be2e909eed4
35526	b32be86cb13759363e470185f85d6ce0	6df9ad036eef187391bce693eba8d000	bcded25b76598817f76e132282a8fd99
35527	b32be86cb13759363e470185f85d6ce0	0310e7006165a00958c9f32361590678	775d4106a2414fece1200be2e909eed4
35528	b32be86cb13759363e470185f85d6ce0	0310e7006165a00958c9f32361590678	775d4106a2414fece1200be2e909eed4
35529	b32be86cb13759363e470185f85d6ce0	0310e7006165a00958c9f32361590678	775d4106a2414fece1200be2e909eed4
35530	151a2e289258ba29c8c8c7d54976b334	705c33b0520f696292e5999435b89383	40594df139384a1238156ef6b3b820ae
35531	151a2e289258ba29c8c8c7d54976b334	705c33b0520f696292e5999435b89383	40594df139384a1238156ef6b3b820ae
35532	151a2e289258ba29c8c8c7d54976b334	705c33b0520f696292e5999435b89383	40594df139384a1238156ef6b3b820ae
35533	151a2e289258ba29c8c8c7d54976b334	705c33b0520f696292e5999435b89383	40594df139384a1238156ef6b3b820ae
35534	151a2e289258ba29c8c8c7d54976b334	705c33b0520f696292e5999435b89383	40594df139384a1238156ef6b3b820ae
35535	151a2e289258ba29c8c8c7d54976b334	705c33b0520f696292e5999435b89383	40594df139384a1238156ef6b3b820ae
35536	151a2e289258ba29c8c8c7d54976b334	705c33b0520f696292e5999435b89383	40594df139384a1238156ef6b3b820ae
35537	151a2e289258ba29c8c8c7d54976b334	705c33b0520f696292e5999435b89383	40594df139384a1238156ef6b3b820ae
35538	151a2e289258ba29c8c8c7d54976b334	705c33b0520f696292e5999435b89383	40594df139384a1238156ef6b3b820ae
35539	151a2e289258ba29c8c8c7d54976b334	705c33b0520f696292e5999435b89383	40594df139384a1238156ef6b3b820ae
35540	151a2e289258ba29c8c8c7d54976b334	705c33b0520f696292e5999435b89383	40594df139384a1238156ef6b3b820ae
35541	151a2e289258ba29c8c8c7d54976b334	705c33b0520f696292e5999435b89383	40594df139384a1238156ef6b3b820ae
35542	151a2e289258ba29c8c8c7d54976b334	705c33b0520f696292e5999435b89383	40594df139384a1238156ef6b3b820ae
35543	151a2e289258ba29c8c8c7d54976b334	705c33b0520f696292e5999435b89383	40594df139384a1238156ef6b3b820ae
35544	151a2e289258ba29c8c8c7d54976b334	705c33b0520f696292e5999435b89383	40594df139384a1238156ef6b3b820ae
35545	151a2e289258ba29c8c8c7d54976b334	705c33b0520f696292e5999435b89383	40594df139384a1238156ef6b3b820ae
35546	151a2e289258ba29c8c8c7d54976b334	705c33b0520f696292e5999435b89383	40594df139384a1238156ef6b3b820ae
35547	6eda77f83f5a8ee082f69dffedbfc1e8	c2acfbf472cbafb1f0c7019408e1b2d3	6a9134b10e791bd1f6fcad07b6c68577
