# rank	legacy	wide	full
31547	c2beb0c93ce8a4f73c4ca4104448b0a6	e77ef53b604732fc4958a2fa07133903	58ae3b25be91c38e390e0dc0b6c6f49c
31548	c2beb0c93ce8a4f73c4ca4104448b0a6	e77ef53b604732fc4958a2fa07133903	58ae3b25be91c38e390e0dc0b6c6f49c
31549	d44b62af09327d1bf42708e69cf12ef9	a136b2a44335c302ba74da36268d6689	9bfc16d6816eefedcbd5a7df2c65211d
31550	d44b62af09327d1bf42708e69cf12ef9	a136b2a44335c302ba74da36268d6689	9bfc16d6816eefedcbd5a7df2c65211d
31551	d44b62af09327d1bf42708e69cf12ef9	a136b2a44335c302ba74da36268d6689	9bfc16d6816eefedcbd5a7df2c65211d
31552	9779f0721bab57f531ba163c2212039f	cae178492956c210e0f2afb4d7372e27	aa5d2e69c1160716c6650b4be2e4d46f
31553	9779f0721bab57f531ba163c2212039f	cae178492956c210e0f2afb4d7372e27	aa5d2e69c1160716c6650b4be2e4d46f
31554	3ab1e0468244239880512e55a15bfc03	1537fa5c6da4a2c8fe857e168f7a9b43	6a3ab3bb978b34e98df195d44cf2455e
31555	daf874698831b16706984ba0292a4aa9	38c5672ab18f620e7dc67b1cfe90e5c1	90a35d0d58f3f64106cbcd4b2f791a0d
31556	f4ed3c825a5553cea27ea750c370f74d	c4bc5b7472c54ae195344392987b1e9e	420b33bda1eeebb5b3a99badfe089d14
31557	f4ed3c825a5553cea27ea750c370f74d	c4bc5b7472c54ae195344392987b1e9e	420b33bda1eeebb5b3a99badfe089d14
31558	f4ed3c825a5553cea27ea750c370f74d	c4bc5b7472c54ae195344392987b1e9e	420b33bda1eeebb5b3a99badfe089d14
31559	4e3268efda8ae5f016550539c5d105f8	b4db70309a48bb2226e73d7d997cc46c	f2008cd392569792b7629396c17e5e0e
31560	d7e5216e771a1a7734af90336a990e73	d82aa1102f9b3da43c53672a9b3ab914	25729e4c9c0279012e7728fd990afad9
31561	a1756f93008b49494a5f5c3bec7d014f	171d174c7788610eb430445635900452	f7033c3d92760872b0e9bebf2fbd9438
31562	a1756f93008b49494a5f5c3bec7d014f	171d174c7788610eb430445635900452	f7033c3d92760872b0e9bebf2fbd9438
31563	a1756f93008b49494a5f5c3bec7d014f	171d174c7788610eb430445635900452	f7033c3d92760872b0e9bebf2fbd9438
31564	a1756f93008b49494a5f5c3bec7d014f	171d174c7788610eb430445635900452	f7033c3d92760872b0e9bebf2fbd9438
31565	a1756f93008b49494a5f5c3bec7d014f	171d174c7788610eb430445635900452	f7033c3d92760872b0e9bebf2fbd9438
31566	a1756f93008b49494a5f5c3bec7d014f	171d174c7788610eb430445635900452	f7033c3d92760872b0e9bebf2fbd9438
31567	a1756f93008b49494a5f5c3bec7d014f	171d174c7788610eb430445635900452	f7033c3d92760872b0e9bebf2fbd9438
31568	41bece0143578fc20d05647bff50ece1	7803e5c9aacaaa41b6b044b6a61e3904	d70685bbf18dc5632d5d81e3717655dd
31569	41bece0143578fc20d05647bff50ece1	7803e5c9aacaaa41b6b044b6a61e3904	d70685bbf18dc5632d5d81e3717655dd
31570	41bece0143578fc20d05647bff50ece1	7803e5c9aacaaa41b6b044b6a61e3904	d70685bbf18dc5632d5d81e3717655dd
31571	613a26767f73394c3d81ff6e87329dd5	444f369db3bc634aec8ebdc415791898	90b88028bd9620a95cfc0c66a25df1c5
31572	ee12b9fe9028a52653aca7adae57fedd	4fe12211adba14ed6f4f70fd4d7fe764	eb4eb59988b32756d679b5b7d97e54ea
31573	41bece0143578fc20d05647bff50ece1	7803e5c9aacaaa41b6b044b6a61e3904	d70685bbf18dc5632d5d81e3717655dd
31574	41bece0143578fc20d05647bff50ece1	7803e5c9aacaaa41b6b044b6a61e3904	d70685bbf18dc5632d5d81e3717655dd
31575	41bece0143578fc20d05647bff50ece1	7803e5c9aacaaa41b6b044b6a61e3904	d70685bbf18dc5632d5d81e3717655dd
31576	bc87c4e702cb600207f3ca52f6f3fc8c	11a35fc6236eaa650d8c3a7e3da3431d	07c8e63a15c2ca5c072dbbd64c220b35
31577	8f45f0b9121771c8f86539d35b1b135f	2a6029d95554464caef2471f6ade1ae2	6f7862aa3df157fc4641145fbdc0fb15
31578	dfab4aeaf8a04e2782cbcb850d417db3	57dac0406e8f8a51167e0073466e81d1	1b7a541ec5c924b23bfe294cb2cade8d
31579	dfab4aeaf8a04e2782cbcb850d417db3	57dac0406e8f8a51167e0073466e81d1	1b7a541ec5c924b23bfe294cb2cade8d
31580	dfab4aeaf8a04e2782cbcb850d417db3	57dac0406e8f8a51167e0073466e81d1	1b7a541ec5c924b23bfe294cb2cade8d
31581	dfab4aeaf8a04e2782cbcb850d417db3	57dac0406e8f8a51167e0073466e81d1	1b7a541ec5c924b23bfe294cb2cade8d
31582	dfab4aeaf8a04e2782cbcb850d417db3	57dac0406e8f8a51167e0073466e81d1	1b7a541ec5c924b23bfe294cb2cade8d
31583	dfab4aeaf8a04e2782cbcb850d417db3	57dac0406e8f8a51167e0073466e81d1	1b7a541ec5c924b23bfe294cb2cade8d
31584	dfab4aeaf8a04e2782cbcb850d417db3	57dac0406e8f8a51167e0073466e81d1	1b7a541ec5c924b23bfe294cb2cade8d
31585	58b2303b5772d51d061f98177be9d0b7	ce4b074862db44743fd341b8ff846470	16316471c6e6edca859b8b9955f4a565
31586	58b2303b5772d51d061f98177be9d0b7	ce4b074862db44743fd341b8ff846470	16316471c6e6edca859b8b9955f4a565
31587	58b2303b5772d51d061f98177be9d0b7	ce4b074862db44743fd341b8ff846470	16316471c6e6edca859b8b9955f4a565
31588	cf8434ea8709049ea700126e0feaa0dc	0a0e1d8553a3f59f8c2a7a9142c5a7e9	a2392656e546894496708714f1791972
31589	e617e324c911deb92b60be22fba2816a	3ca62bd50d9d1fb9634065d9baf58b37	c0a561ebac6790a05bdf3e299408dd2f
31590	a486d444fda0db361ad96b1207b2332c	bccca06575dfe68cf5f8f4a7722f11a1	b2458fa4317529d19720c866fa750841
31591	a486d444fda0db361ad96b1207b2332c	bccca06575dfe68cf5f8f4a7722f11a1	b2458fa4317529d19720c866fa750841
31592	a486d444fda0db361ad96b1207b2332c	bccca06575dfe68cf5f8f4a7722f11a1	b2458fa4317529d19720c866fa750841
31593	a486d444fda0db361ad96b1207b2332c	bccca06575dfe68cf5f8f4a7722f11a1	b2458fa4317529d19720c866fa750841
31594	a486d444fda0db361ad96b1207b2332c	bccca06575dfe68cf5f8f4a7722f11a1	b2458fa4317529d19720c866fa750841
31595	a486d444fda0db361ad96b1207b2332c	bccca06575dfe68cf5f8f4a7722f11a1	b2458fa4317529d19720c866fa750841
31596	a486d444fda0db361ad96b1207b2332c	bccca06575dfe68cf5f8f4a7722f11a1	b2458fa4317529d19720c866fa750841
31597	a486d444fda0db361ad96b1207b2332c	bccca06575dfe68cf5f8f4a7722f11a1	b2458fa4317529d19720c866fa750841
31598	a486d444fda0db361ad96b1207b2332c	bccca06575dfe68cf5f8f4a7722f11a1	b2458fa4317529d19720c866fa750841
31599	a486d444fda0db361ad96b1207b2332c	bccca06575dfe68cf5f8f4a7722f11a1	b2458fa4317529d19720c866fa750841
31600	a486d444fda0db361ad96b1207b2332c	bccca06575dfe68cf5f8f4a7722f11a1	b2458fa4317529d19720c866fa750841
31601	a486d444fda0db361ad96b1207b2332c	bccca06575dfe68cf5f8f4a7722f11a1	b2458fa4317529d19720c866fa750841
31602	a486d444fda0db361ad96b1207b2332c	bccca06575dfe68cf5f8f4a7722f11a1	b2458fa4317529d19720c866fa750841
31603	a486d444fda0db361ad96b1207b2332c	bccca06575dfe68cf5f8f4a7722f11a1	b2458fa4317529d19720c866fa750841
31604	a486d444fda0db361ad96b1207b2332c	bccca06575dfe68cf5f8f4a7722f11a1	b2458fa4317529d19720c866fa750841
31605	a486d444fda0db361ad96b1207b2332c	bccca06575dfe68cf5f8f4a7722f11a1	b2458fa4317529d19720c866fa750841
31606	a486d444fda0db361ad96b1207b2332c	bccca06575dfe68cf5f8f4a7722f11a1	b2458fa4317529d19720c866fa750841
31607	69d53d39da9484fdc07494aacfb9a98e	351edbe0740a68765deb5ed701658f82	d0d8afe895bfb66ba5809f705c16f41f
31608	69d53d39da9484fdc07494aacfb9a98e	351edbe0740a68765deb5ed701658f82	d0d8afe895bfb66ba5809f705c16f41f
31609	69d53d39da9484fdc07494aacfb9a98e	351edbe0740a68765deb5ed701658f82	d0d8afe895bfb66ba5809f705c16f41f
31610	69d53d39da9484fdc07494aacfb9a98e	351edbe0740a68765deb5ed701658f82	d0d8afe895bfb66ba5809f705c16f41f
31611	69d53d39da9484fdc07494aacfb9a98e	351edbe0740a68765deb5ed701658f82	d0d8afe895bfb66ba5809f705c16f41f
31612	69d53d39da9484fdc07494aacfb9a98e	351edbe0740a68765deb5ed701658f82	d0d8afe895bfb66ba5809f705c16f41f
31613	69d53d39da9484fdc07494aacfb9a98e	351edbe0740a68765deb5ed701658f82	d0d8afe895bfb66ba5809f705c16f41f
31614	7cc552924947c2c017ffe99c62c59e25	49f28219435a975918c558185022da61	ee5648f8aad31e4b0ab4049508f278c4
31615	7cc552924947c2c017ffe99c62c59e25	49f28219435a975918c558185022da61	ee5648f8aad31e4b0ab4049508f278c4
31616	7cc552924947c2c017ffe99c62c59e25	49f28219435a975918c558185022da61	ee5648f8aad31e4b0ab4049508f278c4
31617	9fc08aa38240d2b2ea87f401115b366c	c6b4b29da2e32d9d0b4cbaf3cbb84c29	549369676a1d0961e89b5356d0acc22d
31618	9fc08aa38240d2b2ea87f401115b366c	c6b4b29da2e32d9d0b4cbaf3cbb84c29	549369676a1d0961e89b5356d0acc22d
31619	405cbe81881ac4f5e33f8ec6754d4a58	e2845090bd6d2761cad9797f9c8394c9	07cf012605a2f02eeaf5a3a865fae393
31620	405cbe81881ac4f5e33f8ec6754d4a58	e2845090bd6d2761cad9797f9c8394c9	07cf012605a2f02eeaf5a3a865fae393
31621	405cbe81881ac4f5e33f8ec6754d4a58	e2845090bd6d2761cad9797f9c8394c9	07cf012605a2f02eeaf5a3a865fae393
31622	405cbe81881ac4f5e33f8ec6754d4a58	e2845090bd6d2761cad9797f9c8394c9	07cf012605a2f02eeaf5a3a865fae393
31623	405cbe81881ac4f5e33f8ec6754d4a58	e2845090bd6d2761cad9797f9c8394c9	07cf012605a2f02eeaf5a3a865fae393
31624	e1b60a4217f8e3cecea8f45e7c486328	fe56ade020872e5daf1265d77bc43ad1	89f799d109e4e230a0b91a14ceec96c4
31625	405cbe81881ac4f5e33f8ec6754d4a58	e2845090bd6d2761cad9797f9c8394c9	07cf012605a2f02eeaf5a3a865fae393
31626	435b071a3663557f7df6ae8ec262cd96	a979ebf5b92fe906d4f2d58d69032e84	be36aa0edd64b44960397df54383a6ac
31627	435b071a3663557f7df6ae8ec262cd96	a979ebf5b92fe906d4f2d58d69032e84	be36aa0edd64b44960397df54383a6ac
31628	435b071a3663557f7df6ae8ec262cd96	a979ebf5b92fe906d4f2d58d69032e84	be36aa0edd64b44960397df54383a6ac
31629	ddff700b808b88eb797fc5ab6cda188a	f962adbd58867b77a8eeac9f1f5a41d6	97a43728cddbef336a16d15d8531aa63
31630	ddff700b808b88eb797fc5ab6cda188a	f962adbd58867b77a8eeac9f1f5a41d6	97a43728cddbef336a16d15d8531aa63
31631	179c30c94ad8db9ca41ba6009363843a	71d28c41e40f4144340f5d3afb41d1a4	5927c23550ac02915c304922db9db25b
31632	179c30c94ad8db9ca41ba6009363843a	71d28c41e40f4144340f5d3afb41d1a4	5927c23550ac02915c304922db9db25b
31633	179c30c94ad8db9ca41ba6009363843a	71d28c41e40f4144340f5d3afb41d1a4	5927c23550ac02915c304922db9db25b
31634	179c30c94ad8db9ca41ba6009363843a	71d28c41e40f4144340f5d3afb41d1a4	5927c23550ac02915c304922db9db25b
31635	179c30c94ad8db9ca41ba6009363843a	71d28c41e40f4144340f5d3afb41d1a4	5927c23550ac02915c304922db9db25b
31636	179c30c94ad8db9ca41ba6009363843a	71d28c41e40f4144340f5d3afb41d1a4	5927c23550ac02915c304922db9db25b
31637	179c30c94ad8db9ca41ba6009363843a	71d28c41e40f4144340f5d3afb41d1a4	5927c23550ac02915c304922db9db25b
31638	5cb59591575c410be28d30a6306d36b3	cee21c4b6a2f977a534ad982ba05f05e	fa7fe0fc76fc3fee27642227c8e09412
31639	5cb59591575c410be28d30a6306d36b3	cee21c4b6a2f977a534ad982ba05f05e	fa7fe0fc76fc3fee27642227c8e09412
31640	5cb59591575c410be28d30a6306d36b3	cee21c4b6a2f977a534ad982ba05f05e	fa7fe0fc76fc3fee27642227c8e09412
31641	5cb59591575c410be28d30a6306d36b3	cee21c4b6a2f977a534ad982ba05f05e	fa7fe0fc76fc3fee27642227c8e09412
31642	5cb59591575c410be28d30a6306d36b3	cee21c4b6a2f977a534ad982ba05f05e	fa7fe0fc76fc3fee27642227c8e09412
31643	5cb59591575c410be28d30a6306d36b3	cee21c4b6a2f977a534ad982ba05f05e	fa7fe0fc76fc3fee27642227c8e09412
31644	5cb59591575c410be28d30a6306d36b3	cee21c4b6a2f977a534ad982ba05f05e	fa7fe0fc76fc3fee27642227c8e09412
31645	5cb59591575c410be28d30a6306d36b3	cee21c4b6a2f977a534ad982ba05f05e	fa7fe0fc76fc3fee27642227c8e09412
31646	5cb59591575c410be28d30a6306d36b3	cee21c4b6a2f977a534ad982ba05f05e	fa7fe0fc76fc3fee27642227c8e09412
31647	5cb59591575c410be28d30a6306d36b3	cee21c4b6a2f977a534ad982ba05f05e	fa7fe0fc76fc3fee27642227c8e09412
31648	8a859c38da8e0332df657c0aeeca1ac7	f9642226bdf36b101a4ff5b6b19ca6aa	c3e6a655436a0c054663fcc8327e88a9
31649	8a859c38da8e0332df657c0aeeca1ac7	f9642226bdf36b101a4ff5b6b19ca6aa	c3e6a655436a0c054663fcc8327e88a9
31650	8a859c38da8e0332df657c0aeeca1ac7	f9642226bdf36b101a4ff5b6b19ca6aa	c3e6a655436a0c054663fcc8327e88a9
31651	8a859c38da8e0332df657c0aeeca1ac7	f9642226bdf36b101a4ff5b6b19ca6aa	c3e6a655436a0c054663fcc8327e88a9
31652	8a859c38da8e0332df657c0aeeca1ac7	f9642226bdf36b101a4ff5b6b19ca6aa	c3e6a655436a0c054663fcc8327e88a9
31653	8a859c38da8e0332df657c0aeeca1ac7	f9642226bdf36b101a4ff5b6b19ca6aa	c3e6a655436a0c054663fcc8327e88a9
31654	8a859c38da8e0332df657c0aeeca1ac7	f9642226bdf36b101a4ff5b6b19ca6aa	c3e6a655436a0c054663fcc8327e88a9
31655	7aa55be6c5dc7f92270f2dd0db220c92	2312199b814da09acf189093012d2ece	c65cfdef19c12d0b499ac057f956d6a8
31656	7aa55be6c5dc7f92270f2dd0db220c92	2312199b814da09acf189093012d2ece	c65cfdef19c12d0b499ac057f956d6a8
31657	7aa55be6c5dc7f92270f2dd0db220c92	2312199b814da09acf189093012d2ece	c65cfdef19c12d0b499ac057f956d6a8
31658	785149d28aaeeb478320b4e5e2710d61	9f0aa946b8e75fd8e752e3efe333b9fc	8362d95f1c21ac2841bb3655d2807d42
31659	561e8a6d95610e51df666261ea2312df	b452394e6eeb36f4190e8258c68ef2f3	717234b60ce33425619fa1fbeddd8786
31660	f0bd644682c32d695d5a7a1247f5ac81	597b7e3469398a78c5dfd1d7ca95231f	4b7b2a0632b74ea7c782b57a334c4afd
31661	f0bd644682c32d695d5a7a1247f5ac81	597b7e3469398a78c5dfd1d7ca95231f	4b7b2a0632b74ea7c782b57a334c4afd
31662	f0bd644682c32d695d5a7a1247f5ac81	597b7e3469398a78c5dfd1d7ca95231f	4b7b2a0632b74ea7c782b57a334c4afd
31663	f0bd644682c32d695d5a7a1247f5ac81	597b7e3469398a78c5dfd1d7ca95231f	4b7b2a0632b74ea7c782b57a334c4afd
31664	f0bd644682c32d695d5a7a1247f5ac81	597b7e3469398a78c5dfd1d7ca95231f	4b7b2a0632b74ea7c782b57a334c4afd
31665	f0bd644682c32d695d5a7a1247f5ac81	597b7e3469398a78c5dfd1d7ca95231f	4b7b2a0632b74ea7c782b57a334c4afd
31666	f0bd644682c32d695d5a7a1247f5ac81	597b7e3469398a78c5dfd1d7ca95231f	4b7b2a0632b74ea7c782b57a334c4afd
31667	7652d716902a9874cc13b4078362f9cf	0d378739646939d1095651bd0f38b022	33e9e371633b2c2b60c2cf1ccb825b7d
31668	7652d716902a9874cc13b4078362f9cf	0d378739646939d1095651bd0f38b022	33e9e371633b2c2b60c2cf1ccb825b7d
31669	7652d716902a9874cc13b4078362f9cf	0d378739646939d1095651bd0f38b022	33e9e371633b2c2b60c2cf1ccb825b7d
31670	18e32884419a39cc71e931ecac989b42	0bfe7f534764d019936b29227fe5d304	e65859a529d1911d6fbd492c7a7a9d49
31671	18e32884419a39cc71e931ecac989b42	0bfe7f534764d019936b29227fe5d304	e65859a529d1911d6fbd492c7a7a9d49
31672	1db177cff4839cf0eb23004ec616f24e	050f88d8c77512f4485efeab783f1250	87a9c51386e04b2999bd4b46dfdda48a
31673	1db177cff4839cf0eb23004ec616f24e	050f88d8c77512f4485efeab783f1250	87a9c51386e04b2999bd4b46dfdda48a
31674	1db177cff4839cf0eb23004ec616f24e	050f88d8c77512f4485efeab783f1250	87a9c51386e04b2999bd4b46dfdda48a
31675	1db177cff4839cf0eb23004ec616f24e	050f88d8c77512f4485efeab783f1250	87a9c51386e04b2999bd4b46dfdda48a
31676	1db177cff4839cf0eb23004ec616f24e	050f88d8c77512f4485efeab783f1250	87a9c51386e04b2999bd4b46dfdda48a
31677	3aff42b8ac196acb2d1e86565f76abaf	8836d49a05e9b4ba13d7d420768fe6c4	6e90f8b5bcb68ddb832f7d8cb1607748
31678	3aff42b8ac196acb2d1e86565f76abaf	8836d49a05e9b4ba13d7d420768fe6c4	6e90f8b5bcb68ddb832f7d8cb1607748
31679	3aff42b8ac196acb2d1e86565f76abaf	8836d49a05e9b4ba13d7d420768fe6c4	6e90f8b5bcb68ddb832f7d8cb1607748
31680	3aff42b8ac196acb2d1e86565f76abaf	8836d49a05e9b4ba13d7d420768fe6c4	6e90f8b5bcb68ddb832f7d8cb1607748
31681	3aff42b8ac196acb2d1e86565f76abaf	8836d49a05e9b4ba13d7d420768fe6c4	6e90f8b5bcb68ddb832f7d8cb1607748
31682	3aff42b8ac196acb2d1e86565f76abaf	8836d49a05e9b4ba13d7d420768fe6c4	6e90f8b5bcb68ddb832f7d8cb1607748
31683	3aff42b8ac196acb2d1e86565f76abaf	8836d49a05e9b4ba13d7d420768fe6c4	6e90f8b5bcb68ddb832f7d8cb1607748
31684	1dbeaf640b325e4662b93df3f8f543f6	003077cab9b316ca4e61325331331531	e42e6b1b5ae6771e371d36735cec7701
31685	1dbeaf640b325e4662b93df3f8f543f6	003077cab9b316ca4e61325331331531	e42e6b1b5ae6771e371d36735cec7701
31686	811d84e319f16bc7ffdb54d6c5c49119	e67e8daf7fcd1831c75857aaf7a322f5	06baf1a77e029b59552396c2350e1fa5
31687	1dbeaf640b325e4662b93df3f8f543f6	003077cab9b316ca4e61325331331531	e42e6b1b5ae6771e371d36735cec7701
31688	1dbeaf640b325e4662b93df3f8f543f6	003077cab9b316ca4e61325331331531	e42e6b1b5ae6771e371d36735cec7701
31689	25f2507f8ab37d34ae8c54b1d0faf408	ab11d7e131eaca1062e51f2f2f1900f9	a352096c7ef5874a81ca93fc8091643c
31690	25f2507f8ab37d34ae8c54b1d0faf408	ab11d7e131eaca1062e51f2f2f1900f9	a352096c7ef5874a81ca93fc8091643c
31691	25f2507f8ab37d34ae8c54b1d0faf408	ab11d7e131eaca1062e51f2f2f1900f9	a352096c7ef5874a81ca93fc8091643c
31692	fa6f458436ffb9704750362676d5fde3	88a1365e686c14d97ef250b0569303a0	e959c0432bbe2a001f81f9f526854dc6
31693	fa6f458436ffb9704750362676d5fde3	88a1365e686c14d97ef250b0569303a0	e959c0432bbe2a001f81f9f526854dc6
31694	0b0b23036afac9ecf87ec253ef7acfd5	90df10a9b90d2dad97181af718252035	675a5398ef0bd1523da2d71a0dfae528
31695	0b0b23036afac9ecf87ec253ef7acfd5	90df10a9b90d2dad97181af718252035	675a5398ef0bd1523da2d71a0dfae528
31696	4f58c96f8c7551a79b7237ee975a1409	1a4da051038bf396721e987830a27f11	00e9dc6616a4f8a8829625e77635f8da
31697	4f58c96f8c7551a79b7237ee975a1409	1a4da051038bf396721e987830a27f11	00e9dc6616a4f8a8829625e77635f8da
