# rank	legacy	wide	full
0	da4e8ba646b22203c2278bab1b1930c2	c7102c36be67983d51ff1473c90a7c51	a837901c8cb654abb0cb8695ce3bbcc2
1	da4e8ba646b22203c2278bab1b1930c2	c7102c36be67983d51ff1473c90a7c51	a837901c8cb654abb0cb8695ce3bbcc2
2	da4e8ba646b22203c2278bab1b1930c2	c7102c36be67983d51ff1473c90a7c51	a837901c8cb654abb0cb8695ce3bbcc2
3	652b84ab3c98a475b55e7701661ea2f5	7ce212566c77a2934665e1c1b4182c0a	adeafd6b47f360a3b298592ce9a073c9
4	652b84ab3c98a475b55e7701661ea2f5	7ce212566c77a2934665e1c1b4182c0a	adeafd6b47f360a3b298592ce9a073c9
5	9634f9e0a5f9a38ab7f2b7670b6d0c1a	e2d9aa6adec06142da79d1418bae32d1	4b3c483cdecc0de65e554910ac9fd48a
6	9634f9e0a5f9a38ab7f2b7670b6d0c1a	e2d9aa6adec06142da79d1418bae32d1	4b3c483cdecc0de65e554910ac9fd48a
7	41e9446b31a0818d2423ff7c7ebf8adf	04b11c248622897b3c2ba4561c7a1d58	585454812f793a2907edfbcaa28269d7
8	41e9446b31a0818d2423ff7c7ebf8adf	04b11c248622897b3c2ba4561c7a1d58	585454812f793a2907edfbcaa28269d7
9	41e9446b31a0818d2423ff7c7ebf8adf	04b11c248622897b3c2ba4561c7a1d58	585454812f793a2907edfbcaa28269d7
10	41e9446b31a0818d2423ff7c7ebf8adf	04b11c248622897b3c2ba4561c7a1d58	585454812f793a2907edfbcaa28269d7
11	41e9446b31a0818d2423ff7c7ebf8adf	04b11c248622897b3c2ba4561c7a1d58	585454812f793a2907edfbcaa28269d7
12	278dd1abdc4f3442cd04ecdc4f5a7f0b	2ead7aeeeeafb682b15ee0860883a02c	32d9792320426b04fd8633cd69dbd267
13	278dd1abdc4f3442cd04ecdc4f5a7f0b	2ead7aeeeeafb682b15ee0860883a02c	32d9792320426b04fd8633cd69dbd267
14	5811e0e6ed729ac2c30ac264293c3e26	fb0778147570164a15035b3d7c49280d	7ec19fc482d4b0563fedd8bedd392f4e
15	278dd1abdc4f3442cd04ecdc4f5a7f0b	2ead7aeeeeafb682b15ee0860883a02c	32d9792320426b04fd8633cd69dbd267
16	e651f1008938d6d2081d584783c55861	c8cb2ec572140302f80665f52e179fce	465fb0d274584e121a830c514f339141
17	02381ed679020ae65d3b4fe1ad136280	5ca5a44b6516de0e11cb463d5e11ed63	9edb250834bf5da0dedf37958103b87c
18	02381ed679020ae65d3b4fe1ad136280	5ca5a44b6516de0e11cb463d5e11ed63	9edb250834bf5da0dedf37958103b87c
19	02381ed679020ae65d3b4fe1ad136280	5ca5a44b6516de0e11cb463d5e11ed63	9edb250834bf5da0dedf37958103b87c
20	02381ed679020ae65d3b4fe1ad136280	5ca5a44b6516de0e11cb463d5e11ed63	9edb250834bf5da0dedf37958103b87c
21	02381ed679020ae65d3b4fe1ad136280	5ca5a44b6516de0e11cb463d5e11ed63	9edb250834bf5da0dedf37958103b87c
22	02381ed679020ae65d3b4fe1ad136280	5ca5a44b6516de0e11cb463d5e11ed63	9edb250834bf5da0dedf37958103b87c
23	02381ed679020ae65d3b4fe1ad136280	5ca5a44b6516de0e11cb463d5e11ed63	9edb250834bf5da0dedf37958103b87c
24	890dc044f41fa53f016423ca88edebdb	bc093c28f42da60111c095a37e8e3344	6bdb62710e11ab33f00d5bca1c111363
25	890dc044f41fa53f016423ca88edebdb	bc093c28f42da60111c095a37e8e3344	6bdb62710e11ab33f00d5bca1c111363
26	890dc044f41fa53f016423ca88edebdb	bc093c28f42da60111c095a37e8e3344	6bdb62710e11ab33f00d5bca1c111363
27	dc8e0270b45690715a6f2317df5fe36c	3d89dd4d587c8a27d73cea0e1a68c977	7a618663bd1286cda03cf7c4940ad2b4
28	dc8e0270b45690715a6f2317df5fe36c	3d89dd4d587c8a27d73cea0e1a68c977	7a618663bd1286cda03cf7c4940ad2b4
29	832879a2b93468c554ca79c42d2aeff8	1ebc5a811ebc25fbe9d9dc502c1462f3	e90ff93adcc9c40d2150f8afda42a378
30	832879a2b93468c554ca79c42d2aeff8	1ebc5a811ebc25fbe9d9dc502c1462f3	e90ff93adcc9c40d2150f8afda42a378
31	832879a2b93468c554ca79c42d2aeff8	1ebc5a811ebc25fbe9d9dc502c1462f3	e90ff93adcc9c40d2150f8afda42a378
32	48ebed68fffc56f8e9344f537ee5cf7d	782adbb82816e71c081afb595045bb4a	6830f527b6ad89003a1cfec0471c08ed
33	48ebed68fffc56f8e9344f537ee5cf7d	782adbb82816e71c081afb595045bb4a	6830f527b6ad89003a1cfec0471c08ed
