# rank	legacy	wide	full
35490	63763b3fc876ca076e6121b38d0cee7a	bb1c7115385cf4a148947e86fc561489	3f0a2e6a959bcf5f80e0643afbcffe1a
35491	63763b3fc876ca076e6121b38d0cee7a	bb1c7115385cf4a148947e86fc561489	3f0a2e6a959bcf5f80e0643afbcffe1a
35492	63763b3fc876ca076e6121b38d0cee7a	bb1c7115385cf4a148947e86fc561489	3f0a2e6a959bcf5f80e0643afbcffe1a
35493	63763b3fc876ca076e6121b38d0cee7a	bb1c7115385cf4a148947e86fc561489	3f0a2e6a959bcf5f80e0643afbcffe1a
35494	63763b3fc876ca076e6121b38d0cee7a	bb1c7115385cf4a148947e86fc561489	3f0a2e6a959bcf5f80e0643afbcffe1a
35495	63763b3fc876ca076e6121b38d0cee7a	bb1c7115385cf4a148947e86fc561489	3f0a2e6a959bcf5f80e0643afbcffe1a
35496	63763b3fc876ca076e6121b38d0cee7a	bb1c7115385cf4a148947e86fc561489	3f0a2e6a959bcf5f80e0643afbcffe1a
35497	63763b3fc876ca076e6121b38d0cee7a	bb1c7115385cf4a148947e86fc561489	3f0a2e6a959bcf5f80e0643afbcffe1a
35498	63763b3fc876ca076e6121b38d0cee7a	bb1c7115385cf4a148947e86fc561489	3f0a2e6a959bcf5f80e0643afbcffe1a
35499	63763b3fc876ca076e6121b38d0cee7a	bb1c7115385cf4a148947e86fc561489	3f0a2e6a959bcf5f80e0643afbcffe1a
35500	63763b3fc876ca076e6121b38d0cee7a	bb1c7115385cf4a148947e86fc561489	3f0a2e6a959bcf5f80e0643afbcffe1a
35501	7ae3cf5f7cc802438cbf3a8f273c4210	05665e0de2d2afdd84e9db5c9247b14b	d190abc105a2ecd3af657e6856dc4dc8
35502	7ae3cf5f7cc802438cbf3a8f273c4210	05665e0de2d2afdd84e9db5c9247b14b	d190abc105a2ecd3af657e6856dc4dc8
35503	7ae3cf5f7cc802438cbf3a8f273c4210	05665e0de2d2afdd84e9db5c9247b14b	d190abc105a2ecd3af657e6856dc4dc8
35504	7ae3cf5f7cc802438cbf3a8f273c4210	05665e0de2d2afdd84e9db5c9247b14b	d190abc105a2ecd3af657e6856dc4dc8
35505	7ae3cf5f7cc802438cbf3a8f273c4210	05665e0de2d2afdd84e9db5c9247b14b	d190abc105a2ecd3af657e6856dc4dc8
35506	7ae3cf5f7cc802438cbf3a8f273c4210	05665e0de2d2afdd84e9db5c9247b14b	d190abc105a2ecd3af657e6856dc4dc8
35507	7ae3cf5f7cc802438cbf3a8f273c4210	05665e0de2d2afdd84e9db5c9247b14b	d190abc105a2ecd3af657e6856dc4dc8
35508	4465f3dca3c92fdc291df279cc674903	075397aaa2f0d990c09f3a154dad52d4	a020d1c3187e921a91c2c421d324daaf
35509	4465f3dca3c92fdc291df279cc674903	075397aaa2f0d990c09f3a154dad52d4	a020d1c3187e921a91c2c421d324daaf
35510	4465f3dca3c92fdc291df279cc674903	075397aaa2f0d990c09f3a154dad52d4	a020d1c3187e921a91c2c421d324daaf
35511	4465f3dca3c92fdc291df279cc674903	075397aaa2f0d990c09f3a154dad52d4	a020d1c3187e921a91c2c421d324daaf
35512	4465f3dca3c92fdc291df279cc674903	075397aaa2f0d990c09f3a154dad52d4	a020d1c3187e921a91c2c421d324daaf
35513	4465f3dca3c92fdc291df279cc674903	075397aaa2f0d990c09f3a154dad52d4	a020d1c3187e921a91c2c421d324daaf
35514	4465f3dca3c92fdc291df279cc674903	075397aaa2f0d990c09f3a154dad52d4	a020d1c3187e921a91c2c421d324daaf
35515	4465f3dca3c92fdc291df279cc674903	075397aaa2f0d990c09f3a154dad52d4	a020d1c3187e921a91c2c421d324daaf
35516	4465f3dca3c92fdc291df279cc674903	075397aaa2f0d990c09f3a154dad52d4	a020d1c3187e921a91c2c421d324daaf
35517	4465f3dca3c92fdc291df279cc674903	075397aaa2f0d990c09f3a154dad52d4	a020d1c3187e921a91c2c421d324daaf
35518	09cbbadbaf668f476afed63e52eccbda	813da25bed0758d1822ea4fa578e80a9	d57329994ca1eb93ad38ac7bfed7e3fa
35519	09cbbadbaf668f476afed63e52eccbda	813da25bed0758d1822ea4fa578e80a9	d57329994ca1eb93ad38ac7bfed7e3fa
35520	09cbbadbaf668f476afed63e52eccbda	813da25bed0758d1822ea4fa578e80a9	d57329994ca1eb93ad38ac7bfed7e3fa
35521	09cbbadbaf668f476afed63e52eccbda	813da25bed0758d1822ea4fa578e80a9	d57329994ca1eb93ad38ac7bfed7e3fa
35522	09cbbadbaf668f476afed63e52eccbda	813da25bed0758d1822ea4fa578e80a9	d57329994ca1eb93ad38ac7bfed7e3fa
35523	09cbbadbaf668f476afed63e52eccbda	813da25bed0758d1822ea4fa578e80a9	d57329994ca1eb93ad38ac7bfed7e3fa
35524	09cbbadbaf668f476afed63e52eccbda	813da25bed0758d1822ea4fa578e80a9	d57329994ca1eb93ad38ac7bfed7e3fa
35525	52f35fe67839a4fd987d43b634fa0510	41112d9411cde94362e60741c09eef4b	88d83059d8715f9551fa45b0a0f02268
35526	52f35fe67839a4fd987d43b634fa0510	41112d9411cde94362e60741c09eef4b	88d83059d8715f9551fa45b0a0f02268
35527	52f35fe67839a4fd987d43b634fa0510	41112d9411cde94362e60741c09eef4b	88d83059d8715f9551fa45b0a0f02268
35528	52f35fe67839a4fd987d43b634fa0510	41112d9411cde94362e60741c09eef4b	88d83059d8715f9551fa45b0a0f02268
35529	52f35fe67839a4fd987d43b634fa0510	41112d9411cde94362e60741c09eef4b	88d83059d8715f9551fa45b0a0f02268
35530	e9147e7af9b80ac1c9473714302984e7	0baf4b4374a7bf7f3a1b4a786251fcc0	fcd666b2bed4594fb18ab9c528520c1b
35531	e9147e7af9b80ac1c9473714302984e7	0baf4b4374a7bf7f3a1b4a786251fcc0	fcd666b2bed4594fb18ab9c528520c1b
35532	e9147e7af9b80ac1c9473714302984e7	0baf4b4374a7bf7f3a1b4a786251fcc0	fcd666b2bed4594fb18ab9c528520c1b
35533	e9147e7af9b80ac1c9473714302984e7	0baf4b4374a7bf7f3a1b4a786251fcc0	fcd666b2bed4594fb18ab9c528520c1b
35534	e9147e7af9b80ac1c9473714302984e7	0baf4b4374a7bf7f3a1b4a786251fcc0	fcd666b2bed4594fb18ab9c528520c1b
35535	e9147e7af9b80ac1c9473714302984e7	0baf4b4374a7bf7f3a1b4a786251fcc0	fcd666b2bed4594fb18ab9c528520c1b
35536	e9147e7af9b80ac1c9473714302984e7	0baf4b4374a7bf7f3a1b4a786251fcc0	fcd666b2bed4594fb18ab9c528520c1b
35537	e9147e7af9b80ac1c9473714302984e7	0baf4b4374a7bf7f3a1b4a786251fcc0	fcd666b2bed4594fb18ab9c528520c1b
35538	e9147e7af9b80ac1c9473714302984e7	0baf4b4374a7bf7f3a1b4a786251fcc0	fcd666b2bed4594fb18ab9c528520c1b
35539	e9147e7af9b80ac1c9473714302984e7	0baf4b4374a7bf7f3a1b4a786251fcc0	fcd666b2bed4594fb18ab9c528520c1b
35540	e9147e7af9b80ac1c9473714302984e7	0baf4b4374a7bf7f3a1b4a786251fcc0	fcd666b2bed4594fb18ab9c528520c1b
35541	e9147e7af9b80ac1c9473714302984e7	0baf4b4374a7bf7f3a1b4a786251fcc0	fcd666b2bed4594fb18ab9c528520c1b
